freshdesk_ticket_id,frappe_ticket_id
22283270,21893
22283271,21896
22283272,21900
22283273,21904
22283274,21909
22283275,21914
22283276,21921
22283277,21927
22283278,21934
22283279,21946
22283280,21954
22283281,21964
22283282,21972
22283283,21984
22283284,21994
22283285,22001
22283286,22013
22283287,22026
22283288,22036
22283289,22046
22283290,22056
22283291,22065
22283292,22074
22283293,22086
22283294,22095
22283295,22107
22283296,22119
22283297,22130
22283298,22137
22283299,22147
22283300,22155
22283301,22166
22283302,22176
22283303,22187
22283304,22198
22283305,22208
22283306,22219
22283307,22229
22283308,22241
22283309,22252
22283310,22268
22283311,22278
22283312,22289
22283313,22298
22283314,22310
22283315,22319
22283316,22329
22283317,22339
22283318,22354
22283319,22364
22283320,22375
22283321,22385
22283322,22394
22283323,22404
22283324,22415
22283325,22425
22283326,22437
22283327,22449
22283328,22459
22283329,22471
22283330,22481
22283331,22492
22283332,22503
22283333,22512
22283334,22523
22283335,22532
22283336,22544
22283337,22553
22283338,22563
22283339,22575
22283340,22586
22283341,22599
22283342,22607
22283343,22616
22283344,22626
22283345,22636
22283346,22646
22283347,22656
22283348,22666
22283349,22678
22283350,22685
22283351,22696
22283352,22706
22283353,22719
22283354,22729
22283355,22740
22283356,22750
22283357,22762
22283358,22773
22283359,22783
22283360,22790
22283361,22801
22283362,22812
22283363,22827
22283364,22835
22283365,22848
22283366,22863
22283367,22874
22283368,22884
22283369,22895
22283370,22909
22283371,22918
22283372,22928
22283373,22938
22283374,22952
22283375,22966
22283376,22979
22283377,22991
22283378,22999
22283379,23013
22283380,23023
22283381,23035
22283382,23043
22283383,23054
22283384,23064
22283385,23074
22283386,23087
22283387,23099
22283388,23110
22283389,23121
22283390,23131
22283391,23142
22283392,23154
22283393,23165
22283394,23175
22283395,23186
22283396,23196
22283397,23208
22283398,23219
22283399,23228
22283400,23243
22283401,23253
22283402,23262
22283403,23273
22283404,23285
22283405,23294
22283406,23305
22283407,23313
22283408,23323
22283409,23336
22283410,23345
22283411,23359
22283412,23370
22283413,23382
22283414,23392
22283415,23404
22283416,23414
22283418,23431
22283419,23442
22283420,23453
22283421,23464
22283422,23477
22283423,23488
22283424,23499
22283425,23510
22283426,23521
22283427,23532
22283428,23544
22283429,23555
22283430,23567
22283431,23578
22283432,23587
22283433,23598
22283434,23607
22283435,23617
22283436,23628
22283437,23641
22283438,23653
22283439,23664
22283440,23674
22283441,23684
22283442,23696
22283443,23701
22283444,23713
22283445,23723
22283446,23733
22283447,23743
22283448,23754
22283449,23764
22283450,23775
22283451,23787
22283452,23797
22283453,23805
22283454,23817
22283455,23828
22283456,23838
22283457,23852
22283458,23864
22283459,23875
22283460,23886
22283461,23897
22283462,23908
22283463,23918
22283464,23928
22283465,23939
22283466,23950
22283467,23962
22283468,23973
22283469,23984
22283470,23996
22283471,24008
22283472,24021
22283473,24032
22283474,24053
22283475,24064
22283476,24075
22283477,24086
22283478,24099
22283479,24110
22283480,24121
22283481,24135
22283482,24148
22283483,24165
22283484,24185
22283485,24201
22283486,24218
22283487,24242
22283488,24257
22283489,24277
22283490,24294
22283491,24311
22283492,24344
22283493,24362
22283494,24379
22283495,24395
22283496,24412
22283497,24429
22283498,24447
22283499,24463
22283500,24485
22283501,24500
22283502,24519
22283503,24541
22283504,24559
22283505,24575
22283506,24590
22283507,24608
22283508,24624
22283509,24641
22283510,24656
22283511,24675
22283512,24693
22283513,24709
22283514,24728
22283515,24745
22283516,24761
22283517,24784
22283518,24806
22283519,24823
22283520,24840
22283521,24855
22283522,24870
22283523,24886
22283524,24898
22283525,24913
22283526,24931
22283527,24949
22283528,24966
22283529,24982
22283530,25004
22283531,25018
22283533,25045
22283534,25063
22283535,25080
22283536,25103
22283537,25120
22283538,25145
22283539,25160
22283540,25179
22283541,25196
22283542,25214
22283543,25231
22283544,25247
22283545,25264
22283546,25276
22283547,25297
22283548,25313
22283549,25335
22283550,25353
22283551,25369
22283552,25385
22283553,25402
22283554,25418
22283555,25433
22283556,25450
22283557,25464
22283558,25482
22283559,25494
22283560,25509
22283561,25526
22283562,25535
22283563,25554
22283564,25567
22283565,25585
22283566,25602
22283567,25621
22283568,25640
22283569,25656
