freshdesk_ticket_id,frappe_ticket_id
22285970,24097
22285971,24105
22285972,24119
22285973,24128
22285974,24141
22285975,24146
22285976,24161
22285977,24177
22285978,24194
22285979,24208
22285980,24227
22285981,24241
22285982,24256
22285983,24276
22285984,24291
22285985,24306
22285986,24323
22285987,24337
22285988,24354
22285989,24366
22285990,24378
22285991,24391
22285992,24411
22285993,24428
22285994,24443
22285995,24461
22285996,24478
22285997,24495
22285998,24509
22285999,24524
22286000,24539
22286001,24553
22286002,24570
22286003,24585
22286004,24602
22286005,24621
22286006,24634
22286007,24651
22286008,24673
22286009,24688
22286010,24705
22286011,24723
22286012,24738
22286013,24753
22286014,24767
22286015,24783
22286016,24799
22286017,24819
22286018,24835
22286019,24850
22286020,24864
22286021,24879
22286022,24896
22286023,24915
22286024,24932
22286025,24948
22286026,24965
22286027,24983
22286028,24999
22286029,25014
22286030,25030
22286031,25051
22286032,25072
22286033,25088
22286034,25107
22286035,25125
22286036,25143
22286037,25163
22286038,25178
22286039,25199
22286040,25215
22286041,25230
22286042,25248
22286043,25265
22286044,25281
22286045,25298
22286046,25312
22286047,25328
22286048,25344
22286049,25366
22286050,25382
22286051,25400
22286052,25416
22286053,25428
22286054,25444
22286055,25461
22286056,25480
22286057,25495
22286058,25508
22286059,25524
22286060,25541
22286061,25558
22286062,25573
22286063,25599
22286065,25624
22286066,25644
22286067,25660
22286068,25674
22286069,25694
22286070,25707
22286071,25719
22286072,25733
22286073,25745
22286074,25757
22286075,25766
22286076,25777
22286077,25788
22286078,25797
22286079,25807
22286080,25817
22286081,25826
22286082,25838
22286083,25850
22286084,25862
22286085,25871
22286086,25884
22286087,25894
22286088,25905
22286089,25917
22286090,25927
22286091,25937
22286092,25950
22286093,25960
22286094,25962
22286095,25973
22286096,25983
22286097,25993
22286098,26003
22286099,26013
22286100,26023
22286101,26035
22286102,26044
22286103,26049
22286104,26056
22286105,26074
22286106,26085
22286107,26093
22286108,26104
22286109,26113
22286110,26123
22286111,26134
22286112,26143
22286113,26153
22286114,26165
22286115,26174
22286116,26184
22286117,26192
22286118,26200
22286119,26210
22286120,26221
22286121,26233
22286122,26249
22286123,26260
22286124,26269
22286125,26279
22286126,26293
22286127,26303
22286128,26315
22286129,26326
22286130,26334
22286131,26344
22286132,26354
22286133,26365
22286134,26376
22286135,26386
22286136,26396
22286137,26408
22286138,26417
22286139,26422
22286140,26435
22286141,26447
22286142,26460
22286143,26468
22286144,26476
22286145,26484
22286146,26491
22286147,26497
22286148,26509
22286149,26520
22286150,26528
22286151,26537
22286152,26544
22286153,26552
22286154,26565
22286155,26572
22286156,26580
22286157,26586
22286158,26595
22286159,26603
22286160,26610
22286161,26618
22286162,26626
22286163,26635
22286164,26644
22286165,26652
22286166,26661
22286167,26669
22286168,26677
22286169,26685
22286170,26693
22286171,26694
22286172,26707
22286173,26715
22286174,26722
22286175,26727
22286176,26736
22286177,26743
22286178,26751
22286179,26761
22286180,26767
22286181,26775
22286182,26784
22286183,26792
22286184,26800
22286185,26804
22286186,26813
22286187,26820
22286188,26828
22286189,26837
22286190,26844
22286191,26852
22286192,26859
22286193,26868
22286194,26876
22286195,26882
22286196,26888
22286197,26896
22286198,26905
22286199,26912
22286200,26920
22286201,26928
22286202,26936
22286203,26946
22286204,26954
22286205,26962
22286206,26970
22286207,26978
22286208,26984
22286209,26990
22286210,26998
22286211,27005
22286212,27016
22286213,27023
22286214,27033
22286215,27041
22286216,27048
22286217,27058
22286218,27067
22286219,27075
22286220,27080
22286221,27089
22286222,27095
22286223,27104
22286224,27112
22286225,27122
22286226,27131
22286227,27139
22286228,27147
22286229,27159
22286230,27167
22286232,27181
22286233,27188
22286234,27195
22286235,27205
22286236,27213
22286237,27219
22286238,27228
22286239,27236
22286240,27240
22286241,27248
22286242,27255
22286243,27264
22286244,27272
22286245,27280
22286246,27288
22286247,27297
22286248,27303
22286249,27311
22286250,27318
22286251,27328
22286252,27335
22286253,27344
22286254,27352
22286255,27360
22286256,27371
22286257,27381
22286258,27389
22286259,27395
22286260,27401
22286261,27408
22286262,27417
22286263,27425
22286264,27432
22286265,27441
22286266,27449
22286267,27457
22286268,27464
22286269,27470
