freshdesk_ticket_id,frappe_ticket_id
22288070,25582
22288071,25600
22288072,25618
22288073,25638
22288074,25657
22288075,25672
22288076,25686
22288077,25703
22288078,25713
22288079,25727
22288080,25740
22288081,25752
22288082,25762
22288083,25773
22288084,25781
22288085,25790
22288086,25800
22288087,25810
22288088,25820
22288089,25828
22288090,25844
22288091,25855
22288092,25866
22288093,25878
22288094,25887
22288095,25897
22288096,25907
22288097,25916
22288098,25928
22288099,25940
22288100,25943
22288101,25953
22288102,25963
22288103,25974
22288104,25985
22288105,25994
22288106,26007
22288107,26016
22288108,26028
22288109,26038
22288110,26048
22288111,26057
22288112,26073
22288113,26084
22288114,26094
22288115,26105
22288116,26111
22288117,26122
22288118,26133
22288119,26145
22288120,26154
22288121,26163
22288122,26175
22288123,26183
22288124,26193
22288125,26202
22288126,26213
22288127,26226
22288128,26237
22288129,26246
22288130,26255
22288131,26266
22288132,26277
22288133,26287
22288134,26297
22288135,26307
22288136,26316
22288137,26324
22288138,26333
22288139,26345
22288140,26353
22288141,26363
22288142,26374
22288143,26384
22288144,26393
22288145,26403
22288146,26415
22288147,26423
22288148,26433
22288149,26443
22288150,26453
22288151,26463
22288152,26474
22288153,26486
22288154,26495
22288155,26502
22288156,26513
22288157,26523
22288158,26532
22288159,26541
22288160,26551
22288161,26560
22288162,26567
22288163,26575
22288164,26584
22288165,26590
22288166,26598
22288167,26606
22288168,26613
22288169,26622
22288170,26630
22288171,26638
22288172,26645
22288173,26653
22288174,26660
22288175,26668
22288176,26676
22288177,26684
22288178,26692
22288179,26701
22288180,26709
22288181,26717
22288182,26725
22288183,26734
22288184,26742
22288185,26747
22288186,26757
22288187,26764
22288188,26769
22288189,26776
22288190,26783
22288191,26791
22288192,26799
22288193,26807
22288194,26815
22288195,26824
22288196,26831
22288197,26843
22288198,26853
22288199,26861
22288200,26869
22288201,26877
22288202,26886
22288203,26892
22288204,26902
22288205,26909
22288206,26916
22288207,26923
22288208,26933
22288210,26947
22288211,26955
22288212,26963
22288213,26971
22288214,26979
22288215,26987
22288216,26995
22288217,27003
22288218,27011
22288219,27018
22288220,27026
22288221,27032
22288222,27039
22288223,27049
22288224,27055
22288225,27064
22288226,27073
22288227,27084
22288228,27088
22288229,27097
22288230,27103
22288231,27111
22288232,27120
22288233,27129
22288234,27137
22288235,27146
22288236,27156
22288237,27162
22288238,27171
22288239,27180
22288240,27189
22288241,27201
22288242,27209
22288243,27217
22288244,27225
22288245,27233
22288246,27243
22288247,27252
22288248,27259
22288249,27271
22288250,27278
22288251,27289
22288252,27296
22288253,27304
22288254,27314
22288255,27322
22288256,27330
22288257,27338
22288258,27347
22288259,27355
22288260,27364
22288261,27372
22288262,27379
22288263,27387
22288264,27396
22288265,27405
22288266,27415
22288267,27421
22288268,27427
22288269,27435
22288270,27444
22288271,27454
22288272,27462
22288273,27473
22288274,27480
22288275,27489
22288276,27494
22288277,27501
22288278,27508
22288279,27514
22288280,27519
22288281,27523
22288282,27528
22288283,27533
22288284,27537
22288285,27540
22288286,27543
22288287,27546
22288288,27548
22288289,27550
22288290,27552
22288291,27554
22288292,27556
22288293,27558
22288294,27560
22288295,27562
22288296,27564
22288297,27566
22288298,27568
22288299,27570
22288300,27572
22288301,27574
22288302,27576
22288303,27578
22288304,27580
22288305,27582
22288306,27584
22288307,27586
22288308,27588
22288309,27590
22288310,27592
22288311,27594
22288312,27596
22288313,27599
22288314,27601
22288315,27603
22288316,27605
22288317,27607
22288318,27609
22288319,27611
22288320,27613
22288321,27615
22288322,27617
22288323,27619
22288324,27621
22288325,27623
22288326,27625
22288327,27627
22288328,27629
22288329,27631
22288330,27633
22288331,27635
22288332,27637
22288333,27639
22288334,27641
22288335,27643
22288336,27645
22288337,27647
22288338,27649
22288339,27651
22288340,27653
22288341,27655
22288342,27657
22288343,27659
22288344,27661
22288345,27663
22288346,27665
22288347,27667
22288348,27669
22288349,27671
22288350,27673
22288351,27675
22288352,27677
22288353,27679
22288354,27681
22288355,27683
22288356,27685
22288357,27687
22288358,27689
22288359,27691
22288360,27693
22288361,27695
22288362,27697
22288363,27699
22288364,27701
22288365,27703
22288366,27705
22288367,27707
22288368,27708
22288369,27709
