freshdesk_ticket_id,frappe_ticket_id
22286870,24155
22286871,24172
22286872,24191
22286873,24210
22286874,24225
22286875,24238
22286876,24251
22286877,24275
22286878,24293
22286879,24310
22286880,24327
22286881,24343
22286882,24359
22286883,24375
22286884,24389
22286885,24403
22286886,24422
22286887,24442
22286888,24459
22286889,24476
22286890,24494
22286891,24512
22286892,24527
22286893,24542
22286894,24556
22286895,24571
22286896,24597
22286897,24614
22286898,24630
22286899,24652
22286900,24671
22286901,24687
22286902,24700
22286903,24719
22286904,24736
22286905,24751
22286906,24775
22286907,24787
22286908,24802
22286909,24811
22286910,24826
22286911,24843
22286912,24858
22286913,24876
22286914,24893
22286915,24910
22286916,24927
22286917,24938
22286918,24955
22286919,24971
22286920,24985
22286921,24998
22286922,25017
22286923,25039
22286924,25055
22286925,25069
22286926,25084
22286927,25106
22286928,25115
22286929,25133
22286930,25152
22286931,25169
22286932,25185
22286933,25202
22286934,25217
22286935,25235
22286936,25262
22286937,25279
22286938,25289
22286939,25306
22286940,25321
22286941,25337
22286942,25354
22286943,25371
22286944,25391
22286945,25408
22286946,25427
22286947,25445
22286948,25459
22286949,25477
22286950,25492
22286951,25511
22286952,25525
22286953,25542
22286954,25559
22286955,25575
22286956,25588
22286957,25610
22286958,25627
22286959,25641
22286960,25655
22286961,25669
22286962,25684
22286963,25700
22286964,25712
22286965,25729
22286966,25741
22286967,25751
22286968,25761
22286969,25770
22286970,25783
22286971,25792
22286972,25802
22286973,25813
22286974,25823
22286975,25833
22286976,25840
22286977,25846
22286978,25857
22286979,25864
22286981,25880
22286982,25890
22286983,25902
22286984,25912
22286985,25923
22286986,25934
22286987,25946
22286988,25956
22286989,25967
22286990,25975
22286991,25984
22286992,25995
22286993,26006
22286994,26017
22286995,26029
22286996,26037
22286997,26046
22286998,26058
22286999,26070
22287000,26082
22287001,26095
22287002,26103
22287003,26114
22287004,26121
22287005,26131
22287006,26139
22287007,26151
22287008,26160
22287009,26169
22287010,26179
22287011,26189
22287012,26199
22287013,26209
22287014,26218
22287015,26229
22287016,26236
22287017,26247
22287018,26257
22287019,26267
22287020,26275
22287021,26283
22287022,26291
22287023,26301
22287024,26311
22287025,26320
22287026,26331
22287027,26342
22287028,26351
22287029,26361
22287030,26370
22287031,26379
22287032,26391
22287033,26402
22287034,26411
22287035,26421
22287036,26431
22287037,26439
22287038,26446
22287039,26458
22287040,26472
22287041,26482
22287042,26490
22287043,26500
22287044,26505
22287045,26518
22287046,26529
22287047,26536
22287048,26543
22287049,26553
22287050,26564
22287051,26571
22287052,26579
22287053,26587
22287054,26596
22287055,26605
22287056,26611
22287057,26619
22287058,26627
22287059,26634
22287060,26642
22287061,26651
22287062,26657
22287063,26667
22287064,26672
22287065,26678
22287066,26686
22287067,26698
22287068,26704
22287069,26714
22287070,26723
22287071,26733
22287072,26741
22287073,26750
22287074,26758
22287075,26766
22287076,26773
22287077,26781
22287078,26787
22287079,26795
22287080,26802
22287081,26810
22287082,26817
22287083,26826
22287084,26834
22287085,26842
22287086,26849
22287087,26857
22287088,26864
22287089,26872
22287090,26879
22287091,26887
22287092,26895
22287093,26901
22287094,26907
22287095,26915
22287096,26924
22287097,26931
22287098,26942
22287099,26951
22287100,26958
22287101,26966
22287102,26972
22287103,26980
22287104,26992
22287105,26999
22287106,27010
22287107,27019
22287108,27028
22287109,27037
22287110,27045
22287111,27052
22287112,27061
22287113,27068
22287114,27076
22287115,27083
22287116,27087
22287117,27096
22287118,27105
22287119,27113
22287120,27121
22287121,27128
22287122,27138
22287123,27145
22287124,27153
22287125,27160
22287126,27168
22287127,27176
22287128,27185
22287129,27193
22287130,27200
22287131,27206
22287132,27214
22287133,27221
22287134,27229
22287135,27237
22287136,27245
22287137,27253
22287138,27262
22287139,27269
22287140,27277
22287141,27285
22287142,27293
22287143,27301
22287144,27307
22287145,27315
22287146,27323
22287147,27331
22287148,27339
22287149,27346
22287150,27354
22287151,27362
22287152,27368
22287153,27376
22287154,27384
22287155,27392
22287156,27400
22287157,27409
22287158,27419
22287159,27428
22287160,27437
22287161,27446
22287162,27455
22287163,27461
22287164,27467
22287165,27476
22287166,27481
22287167,27486
22287168,27495
22287169,27502
