freshdesk_ticket_id,frappe_ticket_id
22287770,25551
22287771,25563
22287772,25580
22287773,25594
22287774,25615
22287775,25635
22287776,25646
22287777,25662
22287778,25675
22287779,25689
22287780,25701
22287781,25715
22287782,25725
22287783,25739
22287784,25749
22287785,25760
22287786,25772
22287787,25782
22287788,25794
22287789,25803
22287790,25812
22287791,25822
22287792,25834
22287793,25843
22287794,25854
22287795,25868
22287796,25879
22287797,25889
22287798,25898
22287799,25908
22287800,25918
22287801,25930
22287802,25939
22287803,25949
22287804,25961
22287805,25971
22287806,25981
22287807,25989
22287808,25999
22287809,26010
22287810,26021
22287811,26030
22287812,26039
22287813,26051
22287814,26062
22287815,26075
22287816,26087
22287817,26097
22287818,26108
22287819,26118
22287820,26128
22287821,26136
22287822,26149
22287823,26155
22287824,26164
22287825,26173
22287826,26185
22287827,26195
22287828,26206
22287829,26219
22287830,26227
22287831,26239
22287832,26248
22287833,26256
22287834,26264
22287835,26274
22287836,26286
22287837,26294
22287838,26305
22287839,26313
22287840,26325
22287841,26335
22287842,26346
22287843,26356
22287844,26367
22287845,26382
22287846,26389
22287847,26398
22287848,26409
22287849,26420
22287850,26430
22287851,26440
22287852,26449
22287853,26459
22287854,26467
22287855,26478
22287856,26487
22287857,26496
22287858,26506
22287859,26514
22287860,26522
22287861,26531
22287862,26539
22287863,26548
22287864,26557
22287865,26566
22287866,26574
22287867,26585
22287868,26593
22287869,26601
22287870,26609
22287871,26617
22287872,26625
22287873,26632
22287874,26640
22287875,26649
22287876,26655
22287877,26662
22287878,26670
22287879,26679
22287880,26689
22287881,26697
22287882,26706
22287883,26711
22287884,26721
22287885,26729
22287886,26737
22287887,26745
22287888,26753
22287889,26759
22287890,26771
22287891,26779
22287892,26789
22287893,26798
22287894,26806
22287895,26814
22287896,26822
22287897,26830
22287898,26838
22287899,26847
22287900,26855
22287901,26863
22287902,26871
22287903,26880
22287904,26891
22287905,26899
22287906,26913
22287907,26921
22287908,26929
22287909,26937
22287910,26945
22287911,26953
22287912,26960
22287913,26969
22287914,26977
22287915,26985
22287916,26993
22287917,27002
22287918,27009
22287919,27020
22287920,27030
22287921,27038
22287922,27044
22287923,27053
22287924,27062
22287925,27070
22287926,27078
22287927,27086
22287928,27094
22287929,27102
22287930,27108
22287931,27114
22287932,27119
22287933,27127
22287934,27134
22287935,27143
22287936,27152
22287937,27163
22287938,27172
22287939,27184
22287940,27190
22287941,27196
22287942,27203
22287943,27212
22287944,27222
22287945,27232
22287946,27241
22287947,27250
22287948,27260
22287949,27268
22287950,27276
22287951,27281
22287952,27286
22287953,27294
22287955,27313
22287956,27320
22287957,27329
22287958,27337
22287959,27345
22287960,27351
22287961,27359
22287962,27366
22287963,27378
22287964,27386
22287965,27394
22287966,27402
22287967,27413
22287968,27423
22287969,27429
22287970,27436
22287971,27443
22287972,27450
22287973,27459
22287974,27468
22287975,27475
22287976,27482
22287977,27487
22287978,27497
22287979,27503
22287980,27509
22287981,27515
22287982,27521
22287983,27525
22287984,27530
22287985,27536
22287986,27539
22287987,27542
22287988,27545
22287989,27547
22287990,27549
22287991,27551
22287992,27553
22287993,27555
22287994,27557
22287995,27559
22287996,27561
22287997,27563
22287998,27565
22287999,27567
22288000,27569
22288001,27571
22288002,27573
22288003,27575
22288004,27577
22288005,27579
22288006,27581
22288007,27583
22288008,27585
22288009,27587
22288010,27589
22288011,27591
22288012,27593
22288013,27595
22288014,27597
22288015,27598
22288016,27600
22288017,27602
22288018,27604
22288019,27606
22288020,27608
22288021,27610
22288022,27612
22288023,27614
22288024,27616
22288025,27618
22288026,27620
22288027,27622
22288028,27624
22288029,27626
22288030,27628
22288031,27630
22288032,27632
22288033,27634
22288034,27636
22288035,27638
22288036,27640
22288037,27642
22288038,27644
22288039,27646
22288040,27648
22288041,27650
22288042,27652
22288043,27654
22288044,27656
22288045,27658
22288046,27660
22288047,27662
22288048,27664
22288049,27666
22288050,27668
22288051,27670
22288052,27672
22288053,27674
22288054,27676
22288055,27678
22288056,27680
22288057,27682
22288058,27684
22288059,27686
22288060,27688
22288061,27690
22288062,27692
22288063,27694
22288064,27696
22288065,27698
22288066,27700
22288067,27702
22288068,27704
22288069,27706
