freshdesk_ticket_id,frappe_ticket_id
22287170,24164
22287171,24180
22287172,24198
22287173,24214
22287174,24235
22287175,24250
22287176,24271
22287177,24287
22287178,24307
22287179,24324
22287180,24340
22287182,24363
22287183,24376
22287184,24394
22287185,24408
22287186,24424
22287187,24441
22287188,24458
22287189,24471
22287190,24487
22287191,24502
22287192,24515
22287193,24530
22287194,24548
22287195,24564
22287196,24580
22287197,24598
22287198,24616
22287199,24636
22287200,24653
22287201,24664
22287202,24686
22287203,24703
22287204,24727
22287205,24748
22287206,24762
22287207,24785
22287208,24807
22287209,24817
22287210,24836
22287211,24848
22287212,24865
22287213,24883
22287214,24899
22287215,24914
22287216,24930
22287217,24947
22287218,24964
22287219,24981
22287220,24996
22287221,25010
22287222,25027
22287223,25046
22287224,25062
22287225,25078
22287226,25095
22287227,25112
22287228,25127
22287229,25140
22287230,25158
22287231,25173
22287232,25191
22287233,25209
22287234,25226
22287235,25246
22287236,25263
22287237,25277
22287238,25293
22287239,25309
22287240,25318
22287241,25334
22287242,25352
22287243,25370
22287244,25383
22287245,25398
22287246,25417
22287247,25435
22287248,25455
22287249,25471
22287250,25489
22287251,25504
22287252,25522
22287253,25539
22287254,25556
22287255,25566
22287256,25579
22287257,25597
22287258,25614
22287259,25630
22287260,25654
22287261,25670
22287262,25688
22287263,25697
22287264,25710
22287265,25721
22287266,25735
22287267,25744
22287268,25753
22287269,25763
22287270,25774
22287271,25785
22287272,25799
22287273,25809
22287274,25819
22287275,25827
22287276,25836
22287277,25847
22287278,25856
22287279,25865
22287280,25873
22287281,25885
22287282,25896
22287283,25904
22287284,25914
22287285,25924
22287286,25936
22287287,25948
22287288,25958
22287289,25969
22287290,25978
22287291,25988
22287292,25997
22287293,26005
22287294,26019
22287295,26027
22287296,26040
22287297,26050
22287298,26061
22287299,26071
22287300,26083
22287301,26089
22287302,26098
22287303,26106
22287304,26116
22287305,26126
22287306,26138
22287307,26147
22287308,26157
22287309,26167
22287310,26177
22287311,26186
22287312,26196
22287313,26203
22287314,26211
22287315,26223
22287316,26234
22287317,26244
22287318,26258
22287319,26268
22287320,26273
22287321,26284
22287322,26296
22287323,26306
22287324,26317
22287325,26329
22287326,26338
22287327,26347
22287328,26357
22287329,26366
22287330,26375
22287331,26385
22287332,26395
22287333,26406
22287334,26416
22287335,26424
22287336,26432
22287337,26442
22287338,26452
22287339,26461
22287340,26469
22287341,26481
22287342,26492
22287343,26498
22287344,26508
22287345,26515
22287346,26524
22287347,26533
22287348,26542
22287349,26550
22287350,26559
22287351,26569
22287352,26577
22287353,26583
22287354,26592
22287355,26600
22287356,26608
22287357,26616
22287358,26623
22287359,26633
22287360,26639
22287361,26648
22287362,26656
22287363,26663
22287364,26675
22287365,26682
22287366,26688
22287367,26696
22287368,26705
22287369,26712
22287370,26719
22287371,26730
22287372,26738
22287373,26746
22287374,26754
22287375,26762
22287376,26772
22287377,26780
22287378,26788
22287379,26796
22287380,26809
22287381,26818
22287382,26827
22287383,26835
22287384,26841
22287385,26850
22287386,26858
22287387,26865
22287388,26878
22287389,26885
22287390,26894
22287391,26900
22287392,26908
22287393,26917
22287394,26925
22287395,26932
22287396,26940
22287397,26948
22287398,26959
22287399,26967
22287400,26973
22287401,26981
22287402,26989
22287403,26997
22287404,27006
22287405,27015
22287406,27024
22287407,27031
22287408,27040
22287409,27047
22287410,27056
22287411,27063
22287412,27074
22287413,27082
22287414,27090
22287415,27100
22287416,27107
22287417,27115
22287418,27126
22287419,27135
22287420,27142
22287422,27154
22287423,27161
22287424,27169
22287425,27179
22287426,27187
22287427,27198
22287428,27207
22287429,27216
22287430,27224
22287431,27231
22287432,27238
22287433,27246
22287434,27256
22287435,27265
22287436,27273
22287437,27282
22287438,27291
22287439,27299
22287440,27310
22287441,27317
22287442,27325
22287443,27332
22287444,27341
22287445,27349
22287446,27361
22287447,27369
22287448,27377
22287449,27385
22287450,27393
22287451,27403
22287452,27411
22287453,27416
22287454,27424
22287455,27434
22287456,27440
22287457,27448
22287458,27452
22287459,27460
22287460,27469
22287461,27478
22287462,27485
22287463,27492
22287464,27500
22287465,27507
22287466,27513
22287467,27520
22287468,27526
22287469,27531
