freshdesk_ticket_id,frappe_ticket_id
22288762,27712
22288763,27714
22288764,27717
22288765,27720
22288766,27724
22288767,27729
22288768,27734
22288769,27738
22288770,27743
22288771,27749
22288772,27759
22288773,27765
22288774,27773
22288775,27785
22288776,27796
22288777,27803
22288778,27814
22288779,27826
22288780,27836
22288781,27847
22288782,27857
22288783,27868
22288784,27880
22288785,27891
22288786,27902
22288787,27912
22288788,27924
22288789,27934
22288790,27946
22288791,27959
22288792,27974
22288793,27981
22288794,27993
22288795,28007
22288796,28013
22288797,28025
22288798,28036
22288799,28045
22288800,28056
22288801,28068
22288802,28079
22288803,28089
22288804,28097
22288805,28107
22288806,28118
22288807,28128
22288808,28136
22288809,28148
22288810,28158
22288811,28169
22288812,28176
22288813,28188
22288814,28197
22288815,28208
22288816,28220
22288817,28232
22288818,28242
22288819,28252
22288820,28264
22288821,28274
22288822,28286
22288823,28296
22288824,28304
22288825,28315
22288826,28327
22288827,28336
22288828,28344
22288829,28354
22288830,28364
22288831,28374
22288832,28384
22288833,28394
22288834,28402
22288835,28414
22288836,28424
22288837,28434
22288838,28444
22288839,28455
22288840,28465
22288841,28475
22288842,28480
22288843,28489
22288844,28501
22288845,28509
22288846,28518
22288847,28528
22288848,28540
22288849,28552
22288850,28562
22288851,28570
22288852,28580
22288853,28588
22288854,28598
22288855,28604
22288856,28618
22288857,28626
22288858,28642
22288859,28650
22288860,28661
22288861,28671
22288862,28683
22288863,28690
22288864,28706
22288865,28713
22288866,28724
22288867,28732
22288868,28743
22288869,28752
22288870,28762
22288871,28774
22288872,28785
22288873,28796
22288874,28804
22288875,28815
22288876,28826
22288877,28833
22288878,28846
22288879,28855
22288880,28865
22288881,28875
22288882,28885
22288883,28901
22288884,28910
22288885,28922
22288886,28928
22288887,28936
22288888,28946
22288889,28957
22288890,28966
22288891,28976
22288892,28985
22288893,28996
22288894,29006
22288895,29017
22288896,29026
22288897,29038
22288898,29049
22288899,29058
22288900,29067
22288901,29079
22288902,29088
22288903,29099
22288904,29115
22288905,29125
22288906,29135
22288907,29147
22288908,29157
22288909,29166
22288910,29177
22288911,29186
22288912,29198
22288913,29207
22288914,29216
22288915,29226
22288916,29236
22288917,29246
22288918,29258
22288919,29268
22288920,29282
22288921,29293
22288922,29301
22288923,29311
22288924,29321
22288926,29342
22288927,29352
22288928,29363
22288929,29374
22288930,29384
22288931,29394
22288932,29403
22288933,29415
22288934,29426
22288935,29436
22288936,29447
22288937,29459
22288938,29469
22288939,29480
22288940,29489
22288941,29502
22288942,29512
22288943,29521
22288944,29532
22288945,29539
22288946,29549
22288947,29560
22288948,29571
22288949,29581
22288950,29590
22288951,29599
22288952,29609
22288953,29622
22288954,29628
22288955,29636
22288956,29646
22288957,29658
22288958,29666
22288959,29681
22288960,29689
22288961,29696
22288962,29710
22288963,29719
22288964,29729
22288965,29740
22288966,29749
22288967,29757
22288968,29767
22288969,29780
22288970,29791
22288971,29801
22288972,29811
22288973,29821
22288974,29831
22288975,29841
22288976,29852
22288977,29860
22288978,29869
22288979,29881
22288980,29892
22288981,29903
22288982,29917
22288983,29928
22288984,29940
22288985,29950
22288986,29960
22288987,29967
22288988,29979
22288989,29987
22288990,29996
22288991,30005
22288992,30012
22288993,30018
22288994,30028
22288995,30039
22288996,30049
22288997,30057
22288998,30066
22288999,30075
22289000,30086
22289001,30093
22289002,30102
22289003,30113
22289004,30123
22289005,30132
22289006,30139
22289007,30150
22289008,30160
22289009,30173
22289010,30183
22289011,30192
22289012,30201
22289013,30209
22289014,30221
22289015,30227
22289016,30233
22289017,30246
22289018,30252
22289019,30261
22289020,30271
22289021,30281
22289022,30291
22289023,30301
22289024,30306
22289025,30316
22289026,30327
22289027,30337
22289028,30346
22289029,30356
22289030,30368
22289031,30374
22289032,30384
22289033,30397
22289034,30407
22289035,30420
22289036,30429
22289037,30443
22289038,30453
22289039,30462
22289040,30472
22289041,30486
22289042,30495
22289043,30502
22289044,30512
22289045,30522
22289046,30531
22289047,30541
22289048,30551
22289049,30564
22289050,30572
22289051,30583
22289052,30593
22289053,30603
22289054,30613
22289055,30623
22289056,30631
22289057,30640
22289058,30648
22289059,30654
22289060,30665
22289061,30672
