freshdesk_ticket_id,frappe_ticket_id
22289962,27745
22289963,27752
22289964,27760
22289965,27768
22289966,27778
22289967,27790
22289968,27799
22289969,27811
22289970,27822
22289971,27832
22289972,27843
22289973,27856
22289974,27867
22289975,27879
22289976,27888
22289977,27898
22289978,27907
22289979,27914
22289980,27925
22289981,27936
22289982,27945
22289983,27954
22289984,27958
22289985,27969
22289986,27980
22289987,27991
22289988,28009
22289989,28019
22289990,28028
22289991,28040
22289992,28049
22289993,28063
22289994,28073
22289995,28081
22289996,28091
22289997,28100
22289998,28110
22289999,28114
22290000,28124
22290001,28137
22290002,28145
22290003,28154
22290004,28166
22290005,28177
22290006,28185
22290007,28196
22290008,28206
22290009,28216
22290010,28226
22290011,28236
22290012,28246
22290013,28257
22290014,28266
22290015,28279
22290016,28288
22290017,28293
22290018,28306
22290019,28317
22290020,28326
22290021,28334
22290022,28343
22290023,28356
22290024,28366
22290025,28376
22290026,28391
22290027,28399
22290028,28409
22290029,28418
22290030,28433
22290031,28445
22290032,28454
22290033,28464
22290034,28469
22290035,28481
22290036,28491
22290037,28502
22290038,28511
22290039,28522
22290040,28531
22290041,28542
22290042,28550
22290043,28561
22290044,28572
22290045,28582
22290046,28593
22290047,28603
22290048,28614
22290049,28625
22290050,28638
22290051,28648
22290052,28659
22290053,28669
22290054,28685
22290055,28694
22290056,28703
22290057,28714
22290058,28722
22290059,28735
22290060,28741
22290061,28753
22290062,28769
22290063,28781
22290064,28791
22290065,28802
22290066,28807
22290067,28819
22290068,28829
22290069,28839
22290070,28853
22290071,28859
22290072,28868
22290073,28876
22290074,28886
22290075,28895
22290076,28907
22290077,28918
22290078,28932
22290079,28943
22290080,28953
22290081,28963
22290082,28973
22290083,28983
22290084,28994
22290085,29003
22290086,29011
22290087,29016
22290088,29029
22290089,29037
22290090,29050
22290091,29060
22290092,29069
22290093,29077
22290094,29087
22290095,29097
22290096,29106
22290097,29114
22290098,29124
22290099,29133
22290100,29141
22290101,29150
22290102,29161
22290103,29170
22290104,29179
22290105,29190
22290106,29200
22290107,29211
22290108,29221
22290109,29232
22290110,29242
22290111,29251
22290112,29262
22290113,29272
22290114,29281
22290115,29290
22290116,29304
22290117,29314
22290118,29320
22290119,29331
22290120,29343
22290121,29353
22290122,29362
22290123,29372
22290124,29383
22290125,29390
22290126,29402
22290127,29409
22290128,29421
22290129,29432
22290130,29440
22290131,29454
22290132,29461
22290133,29470
22290134,29479
22290135,29490
22290136,29498
22290137,29508
22290138,29517
22290139,29526
22290140,29536
22290141,29548
22290142,29559
22290143,29569
22290144,29579
22290145,29589
22290146,29598
22290147,29608
22290148,29619
22290149,29630
22290150,29638
22290151,29650
22290152,29659
22290153,29667
22290154,29676
22290155,29687
22290156,29699
22290157,29706
22290158,29714
22290159,29724
22290160,29734
22290161,29744
22290162,29758
22290163,29768
22290164,29778
22290165,29787
22290166,29799
22290167,29810
22290168,29819
22290169,29830
22290170,29842
22290171,29849
22290172,29859
22290173,29872
22290174,29880
22290175,29890
22290176,29900
22290177,29910
22290178,29922
22290179,29932
22290180,29943
22290181,29953
22290182,29962
22290183,29972
22290184,29982
22290185,29991
22290186,30001
22290187,30011
22290188,30020
22290189,30032
22290190,30040
22290191,30050
22290192,30059
22290193,30070
22290194,30080
22290195,30090
22290196,30098
22290197,30110
22290199,30127
22290200,30135
22290201,30146
22290202,30156
22290203,30165
22290204,30175
22290205,30185
22290206,30195
22290207,30203
22290208,30214
22290209,30224
22290210,30235
22290211,30244
22290212,30257
22290213,30267
22290214,30275
22290215,30283
22290216,30287
22290217,30298
22290218,30307
22290219,30318
22290220,30326
22290221,30335
22290222,30345
22290223,30357
22290224,30366
22290225,30375
22290226,30387
22290227,30399
22290228,30410
22290229,30416
22290230,30425
22290231,30434
22290232,30444
22290233,30454
22290234,30463
22290235,30476
22290236,30485
22290237,30496
22290238,30506
22290239,30513
22290240,30523
22290241,30533
22290242,30543
22290243,30555
22290244,30561
22290245,30569
22290246,30579
22290247,30590
22290248,30601
22290249,30610
22290250,30621
22290251,30633
22290252,30642
22290253,30649
22290254,30657
22290255,30666
22290256,30675
22290257,30686
22290258,30694
22290259,30699
22290260,30704
22290261,30711
