freshdesk_ticket_id,frappe_ticket_id
22288462,27710
22288463,27711
22288464,27713
22288465,27715
22288466,27718
22288467,27721
22288468,27727
22288469,27730
22288470,27735
22288471,27742
22288472,27747
22288473,27755
22288474,27763
22288475,27770
22288476,27782
22288477,27792
22288478,27804
22288479,27821
22288480,27833
22288481,27844
22288482,27854
22288483,27865
22288484,27877
22288485,27890
22288486,27901
22288487,27911
22288488,27921
22288489,27931
22288490,27940
22288491,27953
22288492,27964
22288493,27977
22288494,27989
22288495,28000
22288496,28011
22288497,28022
22288498,28031
22288499,28044
22288500,28053
22288501,28067
22288502,28076
22288503,28087
22288504,28099
22288505,28106
22288506,28112
22288507,28122
22288508,28131
22288509,28142
22288510,28152
22288511,28163
22288512,28173
22288513,28183
22288515,28201
22288516,28212
22288517,28225
22288518,28235
22288519,28245
22288520,28255
22288521,28265
22288522,28276
22288523,28285
22288524,28298
22288525,28307
22288526,28316
22288527,28323
22288528,28337
22288529,28346
22288530,28355
22288531,28365
22288532,28375
22288533,28385
22288534,28395
22288535,28405
22288536,28415
22288537,28425
22288538,28435
22288539,28443
22288540,28453
22288541,28460
22288542,28474
22288543,28482
22288544,28492
22288545,28499
22288546,28513
22288547,28523
22288548,28533
22288549,28544
22288550,28553
22288551,28563
22288552,28573
22288553,28583
22288554,28592
22288555,28602
22288556,28607
22288557,28613
22288558,28623
22288559,28634
22288560,28643
22288561,28653
22288562,28657
22288563,28667
22288564,28676
22288565,28686
22288566,28696
22288567,28704
22288568,28716
22288569,28727
22288570,28737
22288571,28747
22288572,28759
22288573,28767
22288574,28777
22288575,28787
22288576,28797
22288577,28809
22288578,28821
22288579,28831
22288580,28841
22288581,28851
22288582,28863
22288583,28869
22288584,28879
22288585,28887
22288586,28898
22288587,28911
22288588,28920
22288589,28933
22288590,28942
22288591,28948
22288592,28956
22288593,28967
22288594,28977
22288595,28986
22288596,28993
22288597,29004
22288598,29014
22288599,29025
22288600,29035
22288601,29045
22288602,29055
22288603,29065
22288604,29074
22288605,29084
22288606,29094
22288607,29103
22288608,29109
22288609,29123
22288610,29139
22288611,29149
22288612,29158
22288613,29169
22288614,29181
22288615,29196
22288616,29206
22288617,29218
22288618,29228
22288619,29238
22288620,29248
22288621,29257
22288622,29269
22288623,29279
22288624,29289
22288625,29298
22288626,29308
22288627,29316
22288628,29328
22288629,29337
22288630,29346
22288631,29354
22288632,29366
22288633,29376
22288634,29386
22288635,29397
22288636,29407
22288637,29417
22288638,29424
22288639,29435
22288640,29444
22288641,29452
22288642,29463
22288643,29475
22288644,29484
22288645,29494
22288646,29504
22288647,29509
22288648,29522
22288649,29533
22288650,29542
22288651,29552
22288652,29563
22288653,29574
22288654,29583
22288655,29593
22288656,29603
22288657,29612
22288658,29621
22288659,29626
22288660,29639
22288661,29649
22288662,29660
22288663,29668
22288664,29678
22288665,29688
22288666,29697
22288667,29707
22288668,29717
22288669,29727
22288670,29736
22288671,29745
22288672,29752
22288673,29762
22288674,29773
22288675,29779
22288676,29789
22288677,29794
22288678,29803
22288679,29813
22288680,29822
22288681,29832
22288682,29843
22288683,29853
22288684,29863
22288685,29874
22288686,29883
22288687,29891
22288688,29901
22288689,29912
22288690,29923
22288691,29933
22288692,29942
22288693,29952
22288694,29961
22288695,29971
22288696,29981
22288697,29993
22288698,30003
22288699,30013
22288700,30023
22288701,30034
22288702,30045
22288703,30055
22288704,30065
22288705,30076
22288706,30085
22288707,30097
22288708,30108
22288709,30118
22288710,30128
22288711,30137
22288712,30147
22288713,30155
22288714,30166
22288715,30176
22288716,30186
22288717,30196
22288718,30207
22288719,30218
22288720,30231
22288721,30238
22288722,30243
22288723,30256
22288724,30265
22288725,30274
22288726,30284
22288727,30295
22288728,30304
22288729,30315
22288730,30323
22288731,30332
22288732,30341
22288733,30351
22288734,30359
22288735,30365
22288736,30379
22288737,30390
22288738,30398
22288739,30411
22288740,30421
22288741,30432
22288742,30440
22288743,30450
22288744,30460
22288745,30470
22288746,30481
22288747,30491
22288748,30501
22288749,30508
22288750,30521
22288751,30532
22288752,30542
22288753,30553
22288754,30565
22288755,30575
22288756,30582
22288757,30592
22288758,30602
22288759,30611
22288760,30619
22288761,30629
