freshdesk_ticket_id,frappe_ticket_id
22291162,27775
22291163,27784
22291164,27795
22291165,27810
22291166,27817
22291167,27831
22291168,27841
22291169,27855
22291170,27864
22291171,27875
22291172,27886
22291173,27895
22291174,27906
22291175,27918
22291176,27926
22291177,27939
22291178,27949
22291179,27963
22291180,27971
22291181,27983
22291182,27992
22291183,28001
22291184,28012
22291185,28023
22291186,28034
22291187,28051
22291188,28062
22291189,28072
22291190,28082
22291191,28095
22291192,28104
22291193,28115
22291194,28127
22291195,28138
22291196,28147
22291197,28160
22291198,28168
22291199,28179
22291200,28189
22291201,28202
22291202,28211
22291203,28221
22291204,28227
22291205,28238
22291206,28248
22291207,28259
22291208,28269
22291209,28278
22291210,28287
22291211,28294
22291212,28301
22291213,28312
22291214,28321
22291215,28332
22291216,28341
22291217,28350
22291218,28359
22291219,28370
22291220,28380
22291221,28388
22291222,28400
22291223,28408
22291224,28419
22291225,28428
22291226,28437
22291227,28448
22291228,28457
22291229,28471
22291230,28483
22291231,28495
22291232,28504
22291233,28514
22291234,28526
22291235,28535
22291236,28545
22291237,28555
22291238,28564
22291239,28574
22291240,28584
22291241,28595
22291242,28609
22291243,28617
22291244,28629
22291245,28637
22291246,28649
22291247,28660
22291248,28672
22291249,28680
22291250,28693
22291251,28702
22291252,28712
22291253,28721
22291254,28731
22291255,28742
22291256,28751
22291257,28761
22291258,28770
22291259,28779
22291260,28793
22291261,28803
22291262,28811
22291263,28820
22291264,28824
22291265,28835
22291266,28843
22291267,28854
22291268,28864
22291269,28874
22291270,28881
22291271,28891
22291272,28902
22291273,28913
22291274,28923
22291275,28931
22291276,28939
22291277,28950
22291278,28960
22291279,28972
22291280,28979
22291281,28991
22291282,29000
22291283,29013
22291284,29020
22291285,29030
22291286,29040
22291287,29048
22291288,29059
22291289,29071
22291290,29080
22291291,29090
22291292,29100
22291293,29116
22291294,29121
22291295,29130
22291296,29140
22291297,29156
22291298,29164
22291299,29174
22291300,29185
22291301,29195
22291302,29203
22291303,29214
22291304,29230
22291305,29237
22291306,29247
22291307,29256
22291308,29266
22291309,29274
22291310,29283
22291311,29294
22291312,29305
22291313,29315
22291314,29327
22291315,29330
22291316,29341
22291317,29351
22291318,29361
22291319,29371
22291320,29382
22291321,29392
22291322,29400
22291323,29410
22291324,29420
22291325,29433
22291326,29445
22291327,29453
22291328,29464
22291329,29473
22291330,29483
22291331,29493
22291332,29503
22291333,29511
22291334,29519
22291335,29534
22291336,29545
22291337,29556
22291338,29567
22291339,29577
22291340,29587
22291341,29595
22291342,29604
22291343,29614
22291344,29629
22291345,29640
22291346,29654
22291347,29664
22291348,29673
22291349,29682
22291350,29692
22291351,29703
22291352,29712
22291353,29722
22291354,29731
22291355,29742
22291356,29751
22291357,29763
22291358,29772
22291359,29783
22291360,29797
22291361,29807
22291362,29816
22291363,29826
22291364,29835
22291365,29844
22291366,29855
22291367,29866
22291368,29876
22291369,29887
22291370,29896
22291371,29906
22291372,29913
22291373,29929
22291374,29937
22291375,29947
22291376,29957
22291377,29966
22291378,29975
22291379,29983
22291380,29994
22291381,30004
22291382,30014
22291383,30024
22291384,30037
22291385,30047
22291386,30056
22291387,30067
22291388,30079
22291389,30088
22291390,30100
22291391,30109
22291392,30119
22291393,30131
22291394,30138
22291395,30148
22291396,30158
22291397,30168
22291398,30182
22291399,30191
22291400,30202
22291401,30212
22291402,30222
22291403,30232
22291404,30241
22291405,30251
22291406,30262
22291407,30272
22291408,30282
22291409,30293
22291410,30303
22291411,30313
22291412,30325
22291413,30336
22291414,30347
22291415,30355
22291416,30369
22291417,30378
22291418,30389
22291419,30393
22291420,30403
22291421,30415
22291422,30424
22291423,30435
22291424,30445
22291425,30455
22291426,30466
22291427,30474
22291428,30484
22291429,30492
22291430,30503
22291431,30516
22291432,30524
22291433,30534
22291434,30545
22291435,30552
22291436,30562
22291437,30573
22291438,30585
22291439,30595
22291440,30612
22291441,30622
22291442,30632
22291443,30641
22291444,30650
22291445,30661
22291446,30668
22291447,30677
22291448,30684
22291449,30691
22291450,30700
22291451,30706
22291452,30713
22291453,30723
22291454,30729
22291455,30734
22291456,30737
22291457,30739
22291458,30741
22291459,30743
22291460,30745
22291461,30746
