freshdesk_ticket_id,frappe_ticket_id
22290862,27769
22290863,27777
22290864,27788
22290865,27801
22290866,27812
22290867,27823
22290868,27834
22290869,27845
22290870,27858
22290871,27869
22290872,27878
22290873,27889
22290874,27900
22290875,27910
22290876,27920
22290877,27932
22290878,27944
22290879,27955
22290880,27965
22290881,27978
22290882,27987
22290883,27995
22290884,28004
22290885,28018
22290886,28024
22290887,28035
22290888,28046
22290889,28057
22290890,28064
22290891,28077
22290892,28086
22290893,28094
22290894,28103
22290895,28117
22290896,28126
22290897,28135
22290898,28146
22290899,28156
22290900,28164
22290901,28175
22290902,28186
22290903,28198
22290904,28210
22290905,28218
22290906,28228
22290907,28239
22290908,28247
22290909,28256
22290910,28263
22290911,28275
22290912,28283
22290913,28295
22290914,28305
22290915,28314
22290916,28325
22290917,28335
22290918,28345
22290919,28353
22290920,28362
22290921,28373
22290922,28382
22290923,28392
22290924,28404
22290925,28412
22290926,28421
22290927,28430
22290928,28439
22290929,28451
22290930,28463
22290931,28470
22290932,28478
22290933,28487
22290934,28498
22290935,28507
22290936,28519
22290937,28530
22290938,28537
22290939,28546
22290940,28556
22290941,28567
22290942,28578
22290943,28589
22290944,28600
22290945,28611
22290946,28620
22290947,28630
22290948,28635
22290949,28646
22290950,28656
22290951,28668
22290952,28678
22290953,28688
22290954,28698
22290955,28708
22290956,28718
22290957,28729
22290958,28739
22290959,28748
22290960,28758
22290961,28768
22290962,28778
22290963,28789
22290964,28800
22290965,28812
22290966,28822
22290967,28832
22290969,28849
22290970,28861
22290971,28871
22290972,28883
22290973,28893
22290974,28899
22290975,28912
22290976,28921
22290977,28929
22290978,28941
22290979,28947
22290980,28958
22290981,28968
22290982,28982
22290983,28990
22290984,28998
22290985,29007
22290986,29018
22290987,29027
22290988,29036
22290989,29046
22290990,29056
22290991,29066
22290992,29076
22290993,29082
22290994,29091
22290995,29102
22290996,29111
22290997,29120
22290998,29131
22290999,29142
22291000,29152
22291001,29162
22291002,29171
22291003,29182
22291004,29191
22291005,29201
22291006,29210
22291007,29219
22291008,29227
22291009,29235
22291010,29244
22291011,29255
22291012,29265
22291013,29275
22291014,29287
22291015,29297
22291016,29307
22291017,29318
22291018,29323
22291019,29334
22291020,29345
22291021,29356
22291022,29368
22291023,29379
22291024,29388
22291025,29398
22291026,29413
22291027,29419
22291028,29431
22291029,29442
22291030,29450
22291031,29460
22291032,29471
22291033,29481
22291034,29491
22291035,29501
22291036,29514
22291037,29525
22291038,29535
22291039,29544
22291040,29550
22291041,29561
22291042,29570
22291043,29580
22291044,29592
22291045,29601
22291046,29610
22291047,29620
22291048,29627
22291049,29637
22291050,29647
22291051,29657
22291052,29669
22291053,29677
22291054,29690
22291055,29700
22291056,29709
22291057,29720
22291058,29728
22291059,29738
22291060,29748
22291061,29755
22291062,29765
22291063,29774
22291064,29784
22291065,29793
22291066,29804
22291067,29815
22291068,29824
22291069,29839
22291070,29850
22291071,29861
22291072,29870
22291073,29879
22291074,29889
22291075,29895
22291076,29905
22291077,29914
22291078,29920
22291079,29931
22291080,29941
22291081,29951
22291082,29963
22291083,29973
22291084,29984
22291085,29992
22291086,30002
22291087,30010
22291088,30022
22291089,30029
22291090,30041
22291091,30053
22291092,30063
22291093,30073
22291094,30084
22291095,30092
22291096,30103
22291097,30112
22291098,30121
22291099,30134
22291100,30143
22291101,30153
22291102,30163
22291103,30174
22291104,30184
22291105,30194
22291106,30200
22291107,30211
22291108,30217
22291109,30226
22291110,30236
22291111,30248
22291112,30255
22291113,30263
22291114,30273
22291115,30285
22291116,30294
22291117,30305
22291118,30314
22291119,30324
22291120,30334
22291121,30344
22291122,30354
22291123,30363
22291124,30376
22291125,30386
22291126,30395
22291127,30409
22291128,30419
22291129,30427
22291130,30438
22291131,30447
22291132,30457
22291133,30467
22291134,30478
22291135,30489
22291136,30497
22291137,30507
22291138,30517
22291139,30526
22291140,30537
22291141,30550
22291142,30563
22291143,30574
22291144,30584
22291145,30594
22291146,30604
22291147,30615
22291148,30625
22291149,30637
22291150,30647
22291151,30655
22291152,30664
22291153,30673
22291154,30681
22291155,30689
22291156,30696
22291157,30707
22291158,30714
22291159,30722
22291160,30725
22291161,30731
