freshdesk_ticket_id,frappe_ticket_id
22289662,27725
22289663,27731
22289664,27736
22289665,27740
22289666,27746
22289667,27753
22289668,27761
22289669,27772
22289670,27781
22289671,27791
22289672,27802
22289673,27813
22289674,27825
22289675,27837
22289676,27848
22289677,27861
22289678,27871
22289679,27883
22289680,27894
22289681,27905
22289682,27916
22289683,27929
22289684,27942
22289685,27952
22289686,27966
22289687,27975
22289688,27982
22289689,27994
22289690,28006
22289691,28015
22289692,28027
22289693,28039
22289694,28050
22289695,28061
22289696,28074
22289697,28085
22289698,28092
22289699,28102
22289700,28113
22289701,28123
22289702,28133
22289703,28141
22289704,28150
22289705,28157
22289706,28167
22289707,28181
22289708,28192
22289709,28204
22289710,28213
22289711,28224
22289712,28234
22289713,28243
22289714,28251
22289715,28262
22289716,28273
22289717,28284
22289718,28297
22289719,28308
22289720,28320
22289721,28330
22289722,28342
22289723,28352
22289724,28363
22289725,28372
22289726,28383
22289727,28393
22289728,28403
22289729,28413
22289730,28422
22289731,28431
22289732,28442
22289733,28452
22289734,28462
22289735,28473
22289736,28485
22289737,28494
22289738,28505
22289739,28515
22289740,28525
22289741,28534
22289742,28543
22289743,28558
22289744,28568
22289745,28579
22289746,28590
22289747,28599
22289748,28605
22289749,28615
22289750,28624
22289751,28633
22289752,28644
22289753,28654
22289754,28663
22289755,28674
22289756,28681
22289757,28691
22289758,28700
22289759,28710
22289760,28720
22289761,28730
22289762,28740
22289763,28750
22289764,28760
22289765,28771
22289766,28784
22289767,28794
22289768,28806
22289769,28816
22289770,28827
22289771,28840
22289772,28852
22289773,28860
22289774,28872
22289775,28884
22289776,28894
22289777,28904
22289778,28915
22289779,28925
22289780,28935
22289781,28945
22289782,28955
22289783,28965
22289784,28974
22289785,28984
22289786,28995
22289787,29005
22289788,29015
22289789,29024
22289790,29034
22289791,29044
22289792,29051
22289793,29061
22289794,29070
22289795,29078
22289796,29089
22289797,29098
22289798,29108
22289799,29118
22289800,29128
22289801,29138
22289802,29148
22289803,29160
22289804,29172
22289805,29180
22289806,29188
22289807,29199
22289808,29209
22289809,29220
22289810,29229
22289811,29239
22289812,29250
22289813,29260
22289814,29271
22289815,29280
22289816,29291
22289817,29302
22289818,29310
22289819,29325
22289820,29332
22289821,29344
22289822,29359
22289823,29365
22289824,29375
22289825,29385
22289826,29396
22289827,29405
22289828,29414
22289829,29427
22289830,29438
22289831,29446
22289832,29455
22289833,29467
22289834,29477
22289835,29488
22289836,29495
22289837,29506
22289838,29516
22289839,29529
22289840,29538
22289841,29551
22289842,29562
22289843,29572
22289844,29582
22289845,29591
22289846,29602
22289847,29613
22289848,29623
22289849,29631
22289850,29642
22289851,29651
22289852,29661
22289853,29671
22289854,29679
22289855,29686
22289856,29698
22289857,29705
22289858,29715
22289859,29726
22289860,29737
22289861,29747
22289862,29756
22289863,29770
22289864,29776
22289865,29785
22289866,29800
22289867,29808
22289868,29820
22289869,29829
22289870,29838
22289871,29848
22289872,29858
22289873,29868
22289874,29877
22289875,29885
22289876,29898
22289877,29909
22289878,29918
22289879,29925
22289880,29938
22289881,29949
22289882,29959
22289883,29965
22289884,29976
22289885,29986
22289886,30000
22289887,30008
22289888,30021
22289889,30033
22289890,30042
22289891,30048
22289892,30058
22289893,30068
22289894,30078
22289895,30089
22289896,30101
22289897,30111
22289898,30122
22289899,30133
22289900,30144
22289901,30154
22289902,30164
22289903,30172
22289904,30180
22289905,30190
22289906,30205
22289907,30215
22289908,30223
22289909,30234
22289910,30245
22289911,30254
22289912,30264
22289913,30276
22289914,30286
22289915,30296
22289916,30312
22289917,30322
22289918,30333
22289919,30343
22289920,30350
22289921,30361
22289922,30372
22289923,30383
22289924,30394
22289925,30404
22289926,30413
22289927,30426
22289928,30436
22289929,30446
22289930,30456
22289931,30465
22289932,30475
22289933,30483
22289934,30494
22289935,30504
22289936,30515
22289937,30525
22289938,30536
22289939,30546
22289940,30557
22289941,30568
22289942,30578
22289943,30586
22289944,30598
22289945,30605
22289946,30614
22289947,30624
22289948,30634
22289949,30643
22289950,30652
22289951,30660
22289952,30670
22289953,30679
22289954,30688
22289955,30695
22289956,30702
22289957,30710
22289958,30717
22289959,30721
22289960,30726
22289961,30732
